"sex","id","pgm"
"F","AFC_14_19_A09",1
"M","AFC_14_19_A10",1
"F","AFC_14_19_A11",1
"M","AFC_14_19_A12",1
"F","AFC_14_19_B01",1
"F","AFC_14_19_B02",1
"F","AFC_14_19_B03",1
"F","AFC_14_19_B04",1
"M","AFC_14_19_B05",1
"M","AFC_14_19_B06",1
"F","AFC_14_19_B07",1
"F","AFC_14_19_B08",1
"F","AFC_14_19_B09",1
"F","AFC_14_19_B10",1
"M","AFC_14_19_B11",1
"M","AFC_14_19_B12",1
"M","AFC_14_19_C01",1
"F","AFC_14_19_C02",1
"M","AFC_14_19_C03",1
"M","AFC_14_19_C04",1
"M","AFC_14_19_C05",1
"M","AFC_14_19_C06",1
"F","AFC_14_19_C07",1
"M","AFC_14_19_C08",1
"M","AFC_14_19_C09",1
"F","AFC_14_19_C10",1
"M","AFC_14_19_C11",1
"F","AFC_14_19_C12",1
"M","AFC_14_19_D01",1
"M","AFC_14_19_D02",1
"F","AFC_14_19_D03",1
"M","AFC_14_19_D04",1
"F","AFC_14_19_D05",1
"F","AFC_14_19_D06",1
"M","AFC_14_19_D07",1
"F","AFC_14_19_D08",1
"F","AFC_14_19_D09",1
"M","AFC_14_19_D10",1
"F","AFC_14_19_D11",1
"F","AFC_14_19_D12",1
"M","AFC_14_19_E01",1
"F","AFC_14_19_E02",1
"F","AFC_14_19_E03",1
"F","AFC_14_19_E04",1
"F","AFC_14_19_E05",1
"F","AFC_14_19_E06",1
"F","AFC_14_19_E07",1
"M","AFC_14_19_E08",1
"F","AFC_14_19_E09",1
"F","AFC_14_19_E10",1
"M","AFC_14_19_E11",1
"M","AFC_14_19_E12",1
"F","AFC_14_19_F01",1
"F","AFC_14_19_F02",1
"F","AFC_14_19_F03",1
"F","AFC_14_19_F04",1
"M","AFC_14_19_F05",1
"F","AFC_14_19_F06",1
"M","AFC_14_19_F07",1
"F","AFC_14_19_F08",1
"M","AFC_14_19_F09",1
"M","AFC_14_19_F10",1
"F","AFC_14_19_F11",1
"F","AFC_14_19_F12",1
"M","AFC_14_19_G01",1
"M","AFC_14_19_G02",1
"M","AFC_14_19_G03",1
"F","AFC_14_19_G04",1
"M","AFC_14_19_G05",1
"F","AFC_14_19_G06",1
"M","AFC_14_19_G08",1
"M","AFC_14_19_G09",1
"F","AFC_14_19_G10",1
"M","AFC_14_19_G11",1
"M","AFC_14_19_G12",1
"F","AFC_14_19_H01",1
"F","AFC_14_19_H02",1
"M","AFC_14_19_H03",1
"F","AFC_14_19_H04",1
"F","AFC_14_19_H05",1
"F","AFC_14_19_H06",1
"M","AFC_14_19_H07",1
"F","AFC_14_19_H08",1
"F","AFC_14_19_H09",1
"F","AFC_14_19_H10",1
"M","AFC_14_19_H11",1
"M","AFC_14_20_A04",1
"M","AFC_14_20_A05",1
"M","AFC_14_20_A06",1
"M","AFC_14_20_A08",1
"F","AFC_14_20_A09",1
"M","AFC_14_20_A10",1
"F","AFC_14_20_A11",1
"M","AFC_14_20_A12",1
"M","AFC_14_20_B01",1
"M","AFC_14_20_B02",1
"F","AFC_14_20_B03",1
"F","AFC_14_20_B04",1
"F","AFC_14_20_B05",1
"M","AFC_14_20_B06",1
"M","AFC_14_20_B07",1
"F","AFC_14_20_B08",1
"F","AFC_14_20_B09",1
"M","AFC_14_20_B10",1
"M","AFC_14_20_B11",1
"M","AFC_14_20_B12",1
"F","AFC_14_20_C01",1
"F","AFC_14_20_C02",1
"M","AFC_14_20_C03",1
"M","AFC_14_20_C04",1
"M","AFC_14_20_C05",1
"M","AFC_14_20_C06",1
"F","AFC_14_20_C07",1
"F","AFC_14_20_C08",1
"F","AFC_14_20_C09",1
"M","AFC_14_20_C10",1
"M","AFC_14_20_C11",1
"M","AFC_14_20_C12",1
"M","AFC_14_20_D01",1
"M","AFC_14_20_D02",1
"M","AFC_14_20_D03",1
"M","AFC_14_20_D04",1
"M","AFC_14_20_D05",1
