id xo_count_rqtl
AFC_48_20_C06 4
AFC_48_20_C07 2
AFC_48_20_C08 5
AFC_48_20_C09 3
AFC_48_20_C10 9
AFC_48_20_C11 3
AFC_48_20_D01 2
AFC_48_20_D02 3
AFC_48_20_D04 6
AFC_48_20_D05 9
AFC_48_20_D06 4
AFC_48_20_D08 4
AFC_48_20_D09 6
AFC_48_20_D10 4
AFC_48_20_D11 2
AFC_48_20_D12 7
AFC_48_20_E01 3
AFC_48_20_E02 5
AFC_48_20_E03 3
AFC_48_20_E04 3
AFC_48_20_E05 4
AFC_48_20_E06 6
AFC_48_20_E07 5
AFC_48_20_E08 6
AFC_48_20_E09 3
AFC_48_20_E10 4
AFC_48_20_E11 6
AFC_48_20_E12 5
AFC_48_20_F01 3
AFC_48_20_F02 5
AFC_48_20_F03 3
AFC_48_20_F04 2
AFC_48_20_F05 8
AFC_48_20_F06 5
AFC_48_20_F07 5
AFC_48_20_F08 5
AFC_48_20_F09 2
AFC_48_20_F10 7
AFC_48_20_F11 7
AFC_48_20_F12 5
AFC_48_20_G01 4
AFC_48_20_G02 4
AFC_48_20_G03 6
AFC_48_20_G04 8
AFC_48_20_G05 5
AFC_48_20_G06 5
AFC_48_20_G07 3
AFC_48_20_G08 3
AFC_48_20_G09 4
AFC_48_20_G10 6
AFC_48_20_G11 5
AFC_48_20_H02 8
AFC_48_20_H03 3
AFC_48_20_H09 9
AFC_48_20_H10 4
