"Indiv","mean_hom","sex"
"AFC_14_18_B07",0.05,"F"
"AFC_14_18_B08",1,"M"
"AFC_14_18_B09",0.0517241379310345,"F"
"AFC_14_18_B10",1,"M"
"AFC_14_18_B11",1,"M"
"AFC_14_18_B12",0.0173913043478261,"F"
"AFC_14_18_C01",1,"M"
"AFC_14_18_C02",0.0695652173913043,"F"
"AFC_14_18_C03",1,"M"
"AFC_14_18_C04",1,"M"
"AFC_14_18_C05",0.0689655172413793,"F"
"AFC_14_18_C06",1,"M"
"AFC_14_18_C07",0.0789473684210526,"F"
"AFC_14_18_C08",1,"M"
"AFC_14_18_C09",1,"M"
"AFC_14_18_C10",0.0504201680672269,"F"
"AFC_14_18_C11",1,"M"
"AFC_14_18_C12",0.0756302521008403,"F"
"AFC_14_18_D01",1,"M"
"AFC_14_18_D02",1,"M"
"AFC_14_18_D03",1,"M"
"AFC_14_18_D04",0.0603448275862069,"F"
"AFC_14_18_D05",0.094017094017094,"F"
"AFC_14_18_D06",0.0756302521008403,"F"
"AFC_14_18_D07",0.0756302521008403,"F"
"AFC_14_18_D08",0.0603448275862069,"F"
"AFC_14_18_D09",1,"M"
"AFC_14_18_D10",0.0677966101694915,"F"
"AFC_14_18_D11",1,"M"
"AFC_14_18_D12",1,"M"
"AFC_14_18_E01",1,"M"
"AFC_14_18_E02",1,"M"
"AFC_14_18_E03",0.102564102564103,"F"
"AFC_14_18_E04",0.0677966101694915,"F"
"AFC_14_18_E05",1,"M"
"AFC_14_18_E06",1,"M"
"AFC_14_18_E07",0.0833333333333333,"F"
"AFC_14_18_E08",1,"M"
"AFC_14_18_E09",1,"M"
"AFC_14_18_E10",1,"M"
"AFC_14_18_E11",0.0588235294117647,"F"
"AFC_14_18_E12",0.0593220338983051,"F"
"AFC_14_18_F01",1,"M"
"AFC_14_18_F02",1,"M"
"AFC_14_18_F03",1,"M"
"AFC_14_18_F04",0.0840336134453782,"F"
"AFC_14_18_F05",0.0423728813559322,"F"
"AFC_14_18_F06",1,"M"
"AFC_14_18_F07",0.094017094017094,"F"
"AFC_14_18_F08",1,"M"
"AFC_14_18_F09",0.0512820512820513,"F"
"AFC_14_18_F10",1,"M"
"AFC_14_18_F11",0.075,"F"
"AFC_14_18_G02",1,"M"
"AFC_14_18_G03",1,"M"
"AFC_14_18_G04",0.0423728813559322,"F"
"AFC_14_18_G05",0.0677966101694915,"F"
"AFC_14_18_G06",0.075,"F"
"AFC_14_18_G07",0.0508474576271186,"F"
"AFC_14_18_G08",0.0588235294117647,"F"
"AFC_14_18_G09",0.0677966101694915,"F"
"AFC_14_18_G10",0.0423728813559322,"F"
"AFC_14_18_G11",0.0666666666666667,"F"
"AFC_14_19_A01",1,"M"
"AFC_14_19_A02",1,"M"
"AFC_14_19_A03",0.0588235294117647,"F"
"AFC_14_19_A05",1,"M"
"AFC_14_19_A06",0.0833333333333333,"F"
"AFC_14_19_A07",0.0508474576271186,"F"
"AFC_14_19_A08",1,"M"
"AFC_14_19_A09",0.0508474576271186,"F"
"AFC_14_19_A10",1,"M"
"AFC_14_19_A11",0.0672268907563025,"F"
"AFC_14_19_A12",1,"M"
"AFC_14_19_B01",0.0256410256410256,"F"
"AFC_14_19_B02",0.0427350427350427,"F"
"AFC_14_19_B03",0.05,"F"
"AFC_14_19_B04",0.0338983050847458,"F"
"AFC_14_19_B05",1,"M"
"AFC_14_19_B06",1,"M"
"AFC_14_19_B07",0.0775862068965517,"F"
"AFC_14_19_B08",0.0256410256410256,"F"
"AFC_14_19_B09",0.0252100840336134,"F"
"AFC_14_19_B10",0.076271186440678,"F"
"AFC_14_19_B11",1,"M"
"AFC_14_19_B12",1,"M"
"AFC_14_19_C01",1,"M"
"AFC_14_19_C02",0.0593220338983051,"F"
"AFC_14_19_C03",1,"M"
"AFC_14_19_C04",1,"M"
"AFC_14_19_C05",1,"M"
"AFC_14_19_C06",1,"M"
"AFC_14_19_C07",0.0588235294117647,"F"
"AFC_14_19_C08",1,"M"
"AFC_14_19_C09",0.991525423728814,"M"
"AFC_14_19_C10",0.0598290598290598,"F"
"AFC_14_19_C11",1,"M"
"AFC_14_19_C12",0.076271186440678,"F"
"AFC_14_19_D01",1,"M"
"AFC_14_19_D02",1,"M"
"AFC_14_19_D03",0.0431034482758621,"F"
"AFC_14_19_D04",1,"M"
"AFC_14_19_D05",0.0508474576271186,"F"
"AFC_14_19_D06",0.0677966101694915,"F"
"AFC_14_19_D07",1,"M"
"AFC_14_19_D08",0.0775862068965517,"F"
"AFC_14_19_D09",0.0517241379310345,"F"
"AFC_14_19_D10",0.991666666666667,"M"
"AFC_14_19_D11",0.0344827586206897,"F"
"AFC_14_19_D12",0.092436974789916,"F"
"AFC_14_19_E01",1,"M"
"AFC_14_19_E02",0.0427350427350427,"F"
"AFC_14_19_E03",0.00854700854700855,"F"
"AFC_14_19_E04",0.0517241379310345,"F"
"AFC_14_19_E05",0.0683760683760684,"F"
"AFC_14_19_E06",0.0508474576271186,"F"
"AFC_14_19_E07",0.0256410256410256,"F"
"AFC_14_19_E08",1,"M"
"AFC_14_19_E09",0.0347826086956522,"F"
"AFC_14_19_E10",0.0341880341880342,"F"
"AFC_14_19_E11",1,"M"
"AFC_14_19_E12",1,"M"
"AFC_14_19_F01",0.0603448275862069,"F"
"AFC_14_19_F02",0.0333333333333333,"F"
"AFC_14_19_F03",0.0347826086956522,"F"
"AFC_14_19_F04",0.0252100840336134,"F"
"AFC_14_19_F05",1,"M"
"AFC_14_19_F06",0.0517241379310345,"F"
"AFC_14_19_F07",1,"M"
"AFC_14_19_F08",0.0341880341880342,"F"
"AFC_14_19_F09",1,"M"
"AFC_14_19_F10",1,"M"
"AFC_14_19_F11",0.0420168067226891,"F"
"AFC_14_19_F12",0.0593220338983051,"F"
"AFC_14_19_G01",1,"M"
"AFC_14_19_G02",1,"M"
"AFC_14_19_G03",1,"M"
"AFC_14_19_G04",0.0504201680672269,"F"
"AFC_14_19_G05",1,"M"
"AFC_14_19_G06",0.0344827586206897,"F"
"AFC_14_19_G08",1,"M"
"AFC_14_19_G09",1,"M"
"AFC_14_19_G10",0.0508474576271186,"F"
"AFC_14_19_G11",1,"M"
"AFC_14_19_G12",1,"M"
"AFC_14_19_H01",0.0168067226890756,"F"
"AFC_14_19_H02",0.0338983050847458,"F"
"AFC_14_19_H03",1,"M"
"AFC_14_19_H04",0.0168067226890756,"F"
"AFC_14_19_H05",0.0344827586206897,"F"
"AFC_14_19_H06",0.0420168067226891,"F"
"AFC_14_19_H07",1,"M"
"AFC_14_19_H08",0.0344827586206897,"F"
"AFC_14_19_H09",0.0593220338983051,"F"
"AFC_14_19_H10",0.0504201680672269,"F"
"AFC_14_19_H11",1,"M"
"AFC_14_20_A04",1,"M"
"AFC_14_20_A05",1,"M"
"AFC_14_20_A06",1,"M"
"AFC_14_20_A08",1,"M"
"AFC_14_20_A09",0.107438016528926,"F"
"AFC_14_20_A10",1,"M"
"AFC_14_20_A11",0.0756302521008403,"F"
"AFC_14_20_A12",1,"M"
"AFC_14_20_B01",1,"M"
"AFC_14_20_B02",1,"M"
"AFC_14_20_B03",0.0504201680672269,"F"
"AFC_14_20_B04",0.0683760683760684,"F"
"AFC_14_20_B05",0.0427350427350427,"F"
"AFC_14_20_B06",1,"M"
"AFC_14_20_B07",1,"M"
"AFC_14_20_B08",0.0743801652892562,"F"
"AFC_14_20_B09",0.0256410256410256,"F"
"AFC_14_20_B10",1,"M"
"AFC_14_20_B11",1,"M"
"AFC_14_20_B12",1,"M"
"AFC_14_20_C01",0.0833333333333333,"F"
"AFC_14_20_C02",0.0169491525423729,"F"
"AFC_14_20_C03",1,"M"
"AFC_14_20_C04",1,"M"
"AFC_14_20_C05",1,"M"
"AFC_14_20_C06",1,"M"
"AFC_14_20_C07",0.0769230769230769,"F"
"AFC_14_20_C08",0.0932203389830508,"F"
"AFC_14_20_C09",0.0598290598290598,"F"
"AFC_14_20_C10",1,"M"
"AFC_14_20_C11",1,"M"
"AFC_14_20_C12",0.983050847457627,"M"
"AFC_14_20_D01",1,"M"
"AFC_14_20_D02",1,"M"
"AFC_14_20_D03",1,"M"
"AFC_14_20_D04",1,"M"
"AFC_14_20_D05",1,"M"
"AFC_14_20_D06",1,"M"
"AFC_14_20_D07",0.0598290598290598,"F"
"AFC_14_20_D08",1,"M"
"AFC_14_20_D09",0.0677966101694915,"F"
"AFC_14_20_D10",1,"M"
"AFC_14_20_D11",1,"M"
"AFC_14_20_D12",0.0512820512820513,"F"
"AFC_14_20_E01",1,"M"
"AFC_14_20_E02",1,"M"
"AFC_14_20_E03",0.0598290598290598,"F"
"AFC_14_20_E04",0.0598290598290598,"F"
"AFC_14_20_E05",0.0683760683760684,"F"
"AFC_14_20_E06",0.0258620689655172,"F"
"AFC_14_20_E07",1,"M"
"AFC_14_20_E08",1,"M"
"AFC_14_20_E09",1,"M"
"AFC_14_20_E10",0.0840336134453782,"F"
"AFC_14_20_E11",1,"M"
"AFC_14_20_E12",1,"M"
"AFC_14_20_F01",0.0756302521008403,"F"
"AFC_14_20_F02",0.0427350427350427,"F"
"AFC_14_20_F03",1,"M"
"AFC_14_20_F04",0.0344827586206897,"F"
"AFC_14_20_F05",0.0756302521008403,"F"
"AFC_14_20_F06",1,"M"
"AFC_14_20_F07",0.0869565217391304,"F"
"AFC_14_20_F08",1,"M"
"AFC_14_20_F09",0.0517241379310345,"F"
"AFC_14_20_F10",1,"M"
"AFC_14_20_F11",0.0672268907563025,"F"
"AFC_14_20_F12",1,"M"
"AFC_14_20_G01",1,"M"
"AFC_14_20_G02",1,"M"
"AFC_14_20_G03",0.0847457627118644,"F"
"AFC_14_20_G04",1,"M"
"AFC_14_20_G05",1,"M"
"AFC_14_20_G06",1,"M"
"AFC_14_20_G07",0.0588235294117647,"F"
"AFC_14_20_G08",1,"M"
"AFC_14_20_G09",0.0756302521008403,"F"
"AFC_14_20_G10",1,"M"
"AFC_14_20_G11",0.0341880341880342,"F"
"AFC_14_20_G12",1,"M"
"AFC_14_20_H01",1,"M"
"AFC_14_20_H02",1,"M"
"AFC_14_20_H03",0.0608695652173913,"F"
"AFC_14_20_H04",0.0526315789473684,"F"
"AFC_14_20_H05",1,"M"
"AFC_14_20_H06",1,"M"
"AFC_14_20_H07",0.0431034482758621,"F"
"AFC_14_20_H08",1,"M"
"AFC_14_20_H09",0.0775862068965517,"F"
"AFC_14_20_H10",1,"M"
"AFC_14_20_H11",1,"M"
