pop line plate Indiv CHROM_schf crossovers
AFC AFC_14 AFC_14_15 AFC_14_15_F10 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_F10 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_F10 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_F10 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_F11 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_F11 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_F11 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_F11 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_F11 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_F12 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_F12 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_F12 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_F12 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_F12 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_G01 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_G01 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_G01 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_G01 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_G01 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_G02 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_G02 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_G02 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_G02 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_G02 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_G03 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_G03 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_G03 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_G03 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_G03 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_G04 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_G04 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_G04 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_G04 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_G04 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_G05 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_G05 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_G05 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_G05 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_G05 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_G06 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_G06 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_G06 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_G06 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_G06 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_G07 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_G07 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_G07 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_G07 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_G07 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_G08 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_G08 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_G08 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_G08 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_G08 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_G09 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_G09 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_G09 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_G09 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_G09 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_G10 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_G10 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_G10 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_G10 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_G10 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_G11 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_G11 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_G11 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_G11 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_G11 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_G12 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_G12 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_G12 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_G12 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_G12 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_H02 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_H02 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_H02 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_H02 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_H02 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_H03 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_H03 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_H03 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_H03 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_H03 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_H04 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_H04 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_H04 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_H04 XL 1
AFC AFC_14 AFC_14_15 AFC_14_15_H04 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_H05 2 1
AFC AFC_14 AFC_14_15 AFC_14_15_H05 3 2
AFC AFC_14 AFC_14_15 AFC_14_15_H05 4 2
AFC AFC_14 AFC_14_15 AFC_14_15_H05 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_H05 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_H07 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_H07 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_H07 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_H07 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_H07 XR 2
AFC AFC_14 AFC_14_15 AFC_14_15_H08 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_H08 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_H08 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_H08 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_H08 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_H10 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_H10 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_H10 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_H10 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_H10 XR 1
AFC AFC_14 AFC_14_15 AFC_14_15_H11 2 2
AFC AFC_14 AFC_14_15 AFC_14_15_H11 3 1
AFC AFC_14 AFC_14_15 AFC_14_15_H11 4 0
AFC AFC_14 AFC_14_15 AFC_14_15_H11 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_H11 XR 0
AFC AFC_14 AFC_14_15 AFC_14_15_H12 2 0
AFC AFC_14 AFC_14_15 AFC_14_15_H12 3 0
AFC AFC_14 AFC_14_15 AFC_14_15_H12 4 1
AFC AFC_14 AFC_14_15 AFC_14_15_H12 XL 0
AFC AFC_14 AFC_14_15 AFC_14_15_H12 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_A01 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_A01 3 0
AFC AFC_14 AFC_14_16 AFC_14_16_A01 4 0
AFC AFC_14 AFC_14_16 AFC_14_16_A01 XL 1
AFC AFC_14 AFC_14_16 AFC_14_16_A01 XR 2
AFC AFC_14 AFC_14_16 AFC_14_16_A02 2 0
AFC AFC_14 AFC_14_16 AFC_14_16_A02 3 0
AFC AFC_14 AFC_14_16 AFC_14_16_A02 4 0
AFC AFC_14 AFC_14_16 AFC_14_16_A02 XL 1
AFC AFC_14 AFC_14_16 AFC_14_16_A02 XR 0
AFC AFC_14 AFC_14_16 AFC_14_16_A03 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_A03 3 0
AFC AFC_14 AFC_14_16 AFC_14_16_A03 4 2
AFC AFC_14 AFC_14_16 AFC_14_16_A03 XL 0
AFC AFC_14 AFC_14_16 AFC_14_16_A03 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_A04 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_A04 3 0
AFC AFC_14 AFC_14_16 AFC_14_16_A04 4 0
AFC AFC_14 AFC_14_16 AFC_14_16_A04 XL 1
AFC AFC_14 AFC_14_16 AFC_14_16_A04 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_A05 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_A05 3 1
AFC AFC_14 AFC_14_16 AFC_14_16_A05 4 1
AFC AFC_14 AFC_14_16 AFC_14_16_A05 XL 1
AFC AFC_14 AFC_14_16 AFC_14_16_A05 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_A06 2 2
AFC AFC_14 AFC_14_16 AFC_14_16_A06 3 1
AFC AFC_14 AFC_14_16 AFC_14_16_A06 4 0
AFC AFC_14 AFC_14_16 AFC_14_16_A06 XL 0
AFC AFC_14 AFC_14_16 AFC_14_16_A06 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_A07 2 0
AFC AFC_14 AFC_14_16 AFC_14_16_A07 3 1
AFC AFC_14 AFC_14_16 AFC_14_16_A07 4 1
AFC AFC_14 AFC_14_16 AFC_14_16_A07 XL 1
AFC AFC_14 AFC_14_16 AFC_14_16_A07 XR 2
AFC AFC_14 AFC_14_16 AFC_14_16_A08 2 0
AFC AFC_14 AFC_14_16 AFC_14_16_A08 3 0
AFC AFC_14 AFC_14_16 AFC_14_16_A08 4 0
AFC AFC_14 AFC_14_16 AFC_14_16_A08 XL 1
AFC AFC_14 AFC_14_16 AFC_14_16_A08 XR 2
AFC AFC_14 AFC_14_16 AFC_14_16_A09 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_A09 3 0
AFC AFC_14 AFC_14_16 AFC_14_16_A09 4 0
AFC AFC_14 AFC_14_16 AFC_14_16_A09 XL 0
AFC AFC_14 AFC_14_16 AFC_14_16_A09 XR 1
AFC AFC_14 AFC_14_16 AFC_14_16_A10 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_A10 3 1
AFC AFC_14 AFC_14_16 AFC_14_16_A10 4 0
AFC AFC_14 AFC_14_16 AFC_14_16_A10 XL 1
AFC AFC_14 AFC_14_16 AFC_14_16_A10 XR 0
AFC AFC_14 AFC_14_16 AFC_14_16_B01 2 2
AFC AFC_14 AFC_14_16 AFC_14_16_B01 3 1
AFC AFC_14 AFC_14_16 AFC_14_16_B01 4 0
AFC AFC_14 AFC_14_16 AFC_14_16_B01 XL 0
AFC AFC_14 AFC_14_16 AFC_14_16_B01 XR 0
AFC AFC_14 AFC_14_16 AFC_14_16_B02 2 1
AFC AFC_14 AFC_14_16 AFC_14_16_B02 3 1
