id chr crossovers
AFC_19_18_D01 2 1
AFC_19_18_D02 2 2
AFC_19_18_D03 2 1
AFC_19_18_D04 2 2
AFC_19_18_D05 2 2
AFC_19_18_D06 2 2
AFC_19_18_D07 2 0
AFC_19_18_D08 2 4
AFC_19_18_D09 2 1
AFC_19_18_D11 2 2
AFC_19_18_D12 2 1
AFC_19_18_E01 2 3
AFC_19_18_E02 2 2
AFC_19_18_E03 2 1
AFC_19_18_E04 2 1
AFC_19_18_E06 2 2
AFC_19_18_E07 2 2
AFC_19_18_E08 2 1
AFC_19_18_E09 2 0
AFC_19_18_E10 2 1
AFC_19_18_E11 2 3
AFC_19_18_E12 2 1
AFC_19_18_F01 2 0
AFC_19_18_F02 2 1
AFC_19_18_F03 2 2
AFC_19_18_F04 2 2
AFC_19_18_F05 2 1
AFC_19_18_F06 2 3
AFC_19_18_F07 2 1
AFC_19_18_F08 2 2
AFC_19_18_F09 2 1
AFC_19_18_F10 2 1
AFC_19_18_F11 2 2
AFC_19_18_G01 2 2
AFC_19_18_G02 2 2
AFC_19_18_G03 2 1
AFC_19_18_G04 2 2
AFC_19_18_G05 2 0
AFC_19_18_G06 2 1
AFC_19_18_G07 2 1
AFC_19_18_G08 2 1
AFC_19_18_G09 2 2
AFC_19_18_G10 2 2
AFC_19_18_G11 2 2
AFC_19_18_H01 2 2
AFC_19_18_H02 2 0
AFC_19_18_H03 2 2
AFC_19_18_H04 2 2
AFC_19_18_H05 2 1
AFC_19_18_H06 2 1
AFC_19_18_H07 2 0
AFC_19_18_H08 2 1
AFC_19_18_H09 2 1
AFC_19_19_A01 2 1
AFC_19_19_A02 2 1
AFC_19_19_A03 2 1
AFC_19_19_A05 2 0
AFC_19_19_A06 2 2
AFC_19_19_A07 2 1
AFC_19_19_A08 2 1
AFC_19_19_A09 2 1
AFC_19_19_A11 2 1
AFC_19_19_A12 2 1
AFC_19_19_B01 2 2
AFC_19_19_B02 2 4
AFC_19_19_B03 2 2
AFC_19_19_B04 2 1
AFC_19_19_B05 2 2
AFC_19_19_B06 2 2
AFC_19_19_B07 2 1
AFC_19_19_B08 2 2
AFC_19_19_B09 2 1
AFC_19_19_B10 2 3
AFC_19_19_B11 2 1
AFC_19_19_B12 2 0
AFC_19_19_C01 2 1
AFC_19_19_C02 2 0
AFC_19_19_C03 2 1
AFC_19_19_C04 2 1
AFC_19_19_C05 2 3
AFC_19_19_C06 2 1
AFC_19_19_C07 2 1
AFC_19_19_C08 2 1
AFC_19_19_C09 2 1
AFC_19_19_C10 2 2
AFC_19_19_C11 2 0
AFC_19_19_C12 2 1
AFC_19_19_D01 2 0
AFC_19_19_D02 2 0
AFC_19_19_D03 2 0
AFC_19_19_D04 2 0
AFC_19_19_D05 2 3
AFC_19_19_D06 2 2
AFC_19_19_D07 2 1
AFC_19_19_D08 2 2
AFC_19_19_D09 2 1
AFC_19_19_D10 2 0
AFC_19_19_D11 2 2
AFC_19_19_D12 2 1
AFC_19_19_E01 2 1
AFC_19_19_E02 2 2
AFC_19_19_E03 2 0
AFC_19_19_E04 2 1
AFC_19_19_E05 2 0
AFC_19_19_E07 2 2
AFC_19_19_E09 2 2
AFC_19_19_E10 2 1
AFC_19_19_E11 2 2
AFC_19_19_E12 2 0
AFC_19_19_F01 2 2
AFC_19_19_F02 2 1
AFC_19_19_F03 2 1
AFC_19_19_F04 2 1
AFC_19_19_F05 2 4
AFC_19_19_F06 2 0
AFC_19_19_F07 2 4
AFC_19_19_F08 2 2
AFC_19_19_F09 2 1
AFC_19_19_F10 2 0
AFC_19_19_F11 2 2
AFC_19_19_F12 2 1
AFC_19_19_G01 2 0
AFC_19_19_G02 2 0
AFC_19_19_G03 2 1
AFC_19_19_G04 2 1
AFC_19_19_G05 2 2
AFC_19_19_G06 2 5
AFC_19_19_G07 2 2
AFC_19_19_G08 2 2
AFC_19_19_G09 2 0
AFC_19_19_G10 2 2
AFC_19_19_G11 2 1
AFC_19_19_H01 2 2
AFC_19_19_H07 2 5
AFC_19_19_H08 2 1
AFC_19_19_H09 2 0
AFC_19_19_H10 2 2
AFC_19_20_A10 2 2
AFC_19_20_A11 2 1
AFC_19_20_A12 2 1
AFC_19_20_B01 2 1
AFC_19_20_B02 2 2
AFC_19_20_B03 2 3
AFC_19_20_B04 2 1
AFC_19_20_B05 2 0
AFC_19_20_B07 2 0
AFC_19_20_B08 2 3
AFC_19_20_B09 2 0
AFC_19_20_B10 2 0
AFC_19_20_B11 2 2
AFC_19_20_B12 2 1
AFC_19_20_C01 2 1
AFC_19_20_C02 2 4
AFC_19_20_C04 2 1
AFC_19_20_C05 2 1
AFC_19_20_C06 2 0
AFC_19_20_C07 2 3
AFC_19_20_C08 2 2
AFC_19_20_C09 2 3
AFC_19_20_C10 2 3
AFC_19_20_C11 2 3
AFC_19_20_C12 2 1
AFC_19_20_D01 2 2
AFC_19_20_D02 2 2
AFC_19_20_D03 2 0
AFC_19_20_D04 2 1
AFC_19_20_D05 2 1
AFC_19_20_D06 2 0
AFC_19_20_D07 2 0
AFC_19_20_D08 2 0
AFC_19_20_D09 2 3
AFC_19_20_D10 2 1
AFC_19_20_D11 2 3
AFC_19_20_D12 2 1
AFC_19_20_E01 2 1
AFC_19_20_E02 2 2
AFC_19_20_E04 2 2
AFC_19_20_E05 2 1
AFC_19_20_E06 2 2
AFC_19_20_E07 2 5
AFC_19_20_E09 2 1
AFC_19_20_F01 2 2
AFC_19_20_F02 2 1
AFC_19_20_F04 2 0
AFC_19_20_F05 2 1
AFC_19_20_F06 2 3
AFC_19_20_F07 2 2
AFC_19_20_F08 2 5
AFC_19_20_F09 2 2
AFC_19_20_F11 2 1
AFC_19_20_F12 2 1
AFC_19_20_G01 2 0
AFC_19_20_G02 2 1
AFC_19_20_G03 2 2
AFC_19_20_G04 2 1
AFC_19_20_G05 2 0
AFC_19_20_G06 2 2
AFC_19_20_G07 2 1
AFC_19_20_G08 2 0
AFC_19_20_G09 2 1
AFC_19_20_G10 2 0
AFC_19_20_G11 2 1
AFC_19_20_G12 2 3
AFC_19_20_H01 2 1
AFC_19_20_H02 2 2
AFC_19_20_H04 2 0
AFC_19_20_H05 2 0
AFC_19_20_H11 2 1
AFC_19_20_H12 2 2
AFC_24_15_A01 2 1
AFC_24_15_A02 2 2
AFC_24_15_A03 2 3
AFC_24_15_A04 2 0
AFC_24_15_A05 2 4
AFC_24_15_A06 2 0
AFC_24_15_A08 2 0
